Page,User,Rating,Comment,Timestamp
1,Sheehandea Talitha,2.3,"sumpah sedih bangeettt ga cocook!! dari awal berharap ini bisa jd exfoliating toner gantiin pixiku. tapi aku missed gt ga baca klo ternyata dia ada kandungan tea tree. aku emg dr dlu ga pernah cocok sm skincare yg ada tea tree nya. makanya pas pake toner ini yg ada malah mukaku breakout, bruntusan dan jerawat gede gt di idungg 😭😭😭",2025-05-21 14:42:29
1,Riza Anggia,4.8,"ada yang ngerekomenin produk ini di twitter digabungin sm sbm yg snail mucin, berhubung punya masalah kulit yang sama jadi nyobain dan bener aja dong, kulit awalku yang kering terbilang kasar di daerah hidung bisa hilang dan lembab lagi, awal awal perih banget gatal jd yg kulit sensitif lebih baik berhati2 atau pake hydrating toner lalu pake ini exfo lanjut hydrating toner lagi jadi enggak peri",2025-05-21 14:42:29
1,Mita Kharisma,5.0,BAGUS BANGET😭 Kesayangan akuuu💕 Baru 1x pakai aja bruntusan udah berkurang 💕Bahkan milia yg sudah banget diilangin bisa hempas💕Di awal emang cekat cekit tapi ga ganggu dan ga bikin iritasi 💕,2025-05-21 14:42:29
1,Sintya Oktarina,3.8,"kulitku oily dan acneprone. awal pemakaian terasa cekit3 dikiiit banget. mungkin karena kulitku ud pernah kena exfo toner sebelumnya, jadi ud terbiasa. ini emg lebih keras ya exfonya, jadi harus test dulu buat yg p1 kali pakai. aku pakai 2hari sekali. cukup ngebantu membasmi bruntusan, dan menenangkan jerawat yg abses jadi ga cekot2. cuman blm bisa membasmi sampe tuntas klo jerawat besar. dia sedikit mencerahkan kulit juga. teskturnya juga encer dan mudah menyerap.",2025-05-21 14:42:29
1,Aulia Yasmin,4.3,"bagus sih tonernya cuman sedikit nyesel karna mahal bgt pas beli galiat kalo 20ml pdhl nambah dikit udah dpt yg 100ml beli karna diskon di sociolla huhu;( pas dateng malah kecewa kecil bgt jd kaya beli share in jar , mungkin kl beli share in jar lebih murahh , masih kecewaa bgtt karna kelalaian yg biasanya kl mau beli tuh diliat detail tp ini engga:(",2025-05-21 14:42:30
1,Dyan Cc,5.0,"Exfo toner dengan kombinasi aha/bha, niacinamide, witch hazel, dan aloevera. Menurutku toner ini cukup strong, bikin purging di awal pemakaian. Padahal kulit sudah terbiasa pakai aha/bha. Entah karena witch hazel yang bikin purging atau apa. Tapi setelah pakai ini, wajah tampak lebih cerah, whitehead, dan blackhead berkurang. Recommended bgt lah.",2025-05-21 14:42:30
2,Kanya Anangga_putri,4.8,"awal pakai ini, rasanya perihhhhhh baaaangeeettt, salahku juga sih langsung pakai ini sebagai exfo toner pertamaku wkwkwkw. Terus sempet purging juga. Aku pakai terus pelan-pelan, 2 minggu sekali, terus sampe tiap hari kalo di jidat (karena di jidat ga perih). Sekarang udah gak perih lagi dan tekstur wajah aku membaik!!! jarang jerawatan lagi, milia dan bruntus berkurang, mungkin bekas jerawatku memudar karena ini juga kali ya? tapi harus sabar gais, ga ada yang instan wkwkw. Totally worth it!! Mending beli yang 100ml sekalian, soalnya rugi kalo beli yang 20ml wkwkw. Oiya ini teksturnya cair dan.. rada lengket kalau dilayer ya. Cuma oke lah, ga mengganggu banget. Mantap.",2025-05-21 14:42:34
2,Alda Syawalitaa,4.8,terlalu cinta sama ini produk awalnya takut karna semua bahan exfoliate ada disini tapi coba untuk memberanikan diri dan walaaa liat mukaku sekarang jadi bersyukur banget make produk ini supeer duper exfoliating product yg muantul,2025-05-21 14:42:34
2,Arin Paramitha,2.5,"Lihat review orang2 dan beauty vlogger bilang kalo toner ini bagus banget dan bekerja banget di muka apalagi untuk kulit sensitif dan berjerawat. but, no effect for me. di muka ku malah sebaliknya setelah sekali pakai toner ini keesokan hari nya muka ku langsung breakout timbul jerawat di jidat dan dagu :( dan ngilangin breakout nya sampai berhari2.",2025-05-21 14:42:34
2,Intan Amalia,3.0,maju mundur terus mau beli ini karena emg gapernah cocok sama chemical exfo. pemakaian pertama berasa banget tingling sensationnya dan merah2 gitu cenderung gatel. pemakaian kedua udah mendingan efeknya tapi ternyata besokannya kulitku mulai gradakan cikal jerawat mau tumbuh. akhirnya aku stop krn aku bukan aliran yang percaya sama purging.,2025-05-21 14:42:34
